# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 14, mean track length: 2
13 -4.2682591480044776 -2.0220464243187575 17.024602463768527 32 26 29 0.016486977268714599 1 829 3 801
14 -4.0789667799781153 -1.9844250518536353 16.687697834617524 36 40 35 0.098896792808903553 1 898 3 893
1 -7.5225223181363967 -5.7354047334615528 39.605535802866804 195 185 172 0.0011886635368283252 1 281 3 210
2 -7.5225223181363967 -5.7354047334615528 39.605535802866804 195 185 172 0.0011886635368283252 1 282 3 209
3 -4.0964371013611798 -1.890194156472923 16.677582096421133 191 178 165 0.17957276825325685 1 610 3 190
4 -4.1237688909431176 -2.0996261956495994 16.821623769826612 162 163 156 0.033152385662206574 1 690 3 480
5 -6.7828783352086557 -5.3180735094031091 35.225425822459677 1 3 2 0.0021141130807800037 1 691 3 687
6 -4.0970111277380017 -2.0700639573083373 16.758388809405719 30 32 31 0.006967125667111055 1 698 3 483
7 -4.0970111277380017 -2.0700639573083373 16.758388809405719 30 32 31 0.006967125667111055 1 699 3 484
8 -4.2372392625293038 -1.9159464530735553 16.928358561132125 4 9 12 0.044030067854797364 1 708 3 493
9 -4.1651266582798669 -1.9139292710262199 16.799795482055952 14 21 27 0.1744882445893996 1 709 3 180
10 -4.2604580298206258 -1.9704332707699888 16.997576036942487 33 35 35 0.0147884447243781 1 773 3 487
11 -4.2604580298206258 -1.9704332707699888 16.997576036942487 33 35 35 0.0147884447243781 1 774 3 488
12 -4.0332889001290626 -1.8572619310093312 16.537797955886788 214 202 176 0.11368683280759634 1 778 3 507
